codigo,razon_social,country,es_banco
9516419,Picpay Bank,BR,True
9526594,Banco Master de Investimento S.A. - Em Liquidação Extrajudicial,BR,False
9552111,Instituição 09552111,BR,False
9554480,Superdigital Instituição de Pagamento,BR,False
9576849,Instituição 09576849,BR,False
9579249,Instituição 09579249,BR,False
9590601,Instituição 09590601,BR,False
9605581,Instituição 09605581,BR,False
9639338,Instituição 09639338,BR,False
10013534,Instituição 10013534,BR,False
10143499,Instituição 10143499,BR,False
10143743,Instituição 10143743,BR,False
10175348,Instituição 10175348,BR,False
10209619,Instituição 10209619,BR,False
10218474,Instituição 10218474,BR,False
10262276,Instituição 10262276,BR,False
10264663,Bancoseguro,BR,True
10280601,Instituição 10280601,BR,False
10311218,Instituição 10311218,BR,False
10314753,Instituição 10314753,BR,False
10319386,Instituição 10319386,BR,False
10348181,Instituição 10348181,BR,False
10371492,Banco Yamaha Motor do Brasil,BR,True
10398952,Confederação Nacional das Cooperativas Centrais de Crédito e Economia Familiar e Solidária - Cresol Confederação,BR,False
10440482,Getnet Adquirência e Serviços Para Meios de Pagamento S.A. Instituição de Pagamento,BR,False
10453077,Instituição 10453077,BR,False
10506341,Instituição 10506341,BR,False
10520232,Instituição 10520232,BR,False
10548608,Instituição 10548608,BR,False
10573521,Mercado Pago Instituição de Pagamento Ltda.,BR,False
10663610,Desenvolve Sp - Agência de Fomento do Estado de São Paulo,BR,False
10664513,Banco Agibank,BR,True
10690848,Banco da China Brasil,BR,True
10719496,Instituição 10719496,BR,False
10736214,Instituição 10736214,BR,False
10749264,Instituição 10749264,BR,False
10769660,Instituição 10769660,BR,False
10789035,Attrus Instituição de Pagamento,BR,False
10808037,Instituição 10808037,BR,False
10853017,Get Money Sociedade Corretora de Câmbio,BR,False
10866788,Banco Bandepe,BR,False
10868663,Instituição 10868663,BR,False
10878448,Instituição 10878448,BR,False
11165756,Global Finanças Sociedade de Crédito Ao Microempreendedor e À Empresa de Pequeno Porte Ltda.,BR,False
11271860,Instituição 11271860,BR,False
11275560,Instituição 11275560,BR,False
11285104,Neon Financeira - Sociedade de Crédito Financiamento e Investimento,BR,False
11351086,Mercado Bitcoin Instituicao de Pagamento Ltda,BR,False
11356599,Instituição 11356599,BR,False
11406965,Instituição 11406965,BR,False
11414839,Eagle Instituicao de Pagamento Ltda.,BR,False
11417016,Instituição 11417016,BR,False
11476673,Banco Randon,BR,True
11491029,Bsn Pagamentos Instituição de Pagamento Ltda,BR,False
11495073,Om Distribuidora de Títulos e Valores Mobiliários Ltda,BR,False
11545653,Instituição 11545653,BR,False
11581339,Bmp Sociedade de Crédito Ao Microempreendedor e A Empresa de Pequeno Porte Ltda.,BR,False
11703662,Banco Travelex,BR,True
11758741,Banco Finaxis,BR,True
11760553,Gazincred S.A. Sociedade de Crédito Financiamento e Investimento,BR,False
11836226,Instituição 11836226,BR,False
11907520,Instituição 11907520,BR,False
11969853,Instituição 11969853,BR,False
11970623,Banco Senff,BR,True
12063256,Instituição 12063256,BR,False
12102128,Safetypay Brasil Instituicao de Pagamento Ltda,BR,False
12272183,Instituição 12272183,BR,False
12384953,Instituição 12384953,BR,False
12392983,Mirae Asset (brasil) Corretora de Câmbio Títulos e Valores Mobiliários Ltda.,BR,False
12473687,Conta Pronta Instituicao de Pagamento Ltda,BR,False
12481100,Biz Instituição de Pagamento,BR,False
